节点ID,0,1,2,3,4,5,6
1347584,1,1,0,0,0,0,0
1998848,1,42,0,0,0,0,0
2187264,1,1,0,0,0,0,0
2641920,1,1,0,0,0,0,0
2650112,1,1,0,0,0,0,0
2654208,1,1,0,0,0,0,0
3756032,1,112,47,0,0,0,0
4202496,1,8,10,11,66,41,0
4763648,1,1,0,0,0,0,0
4767744,1,1,0,0,0,0,0
4771840,1,1,0,0,0,0,0
5627904,1,1,1,0,0,0,0
6574080,1,1,0,0,0,0,0
7593984,1,1,0,0,0,0,0
7733248,1,1,342,572,359,2130,7260
7790592,1,1,0,0,0,0,0
7991296,1,1,342,572,359,2130,7260
8376320,1,1,342,572,359,2130,7260
8638464,1,1,342,572,359,2130,7260
10477568,1,1,0,0,0,0,0
13467648,1,1,0,0,0,0,0
15675392,1,1,19,83,121,258,39
15753216,1,1,0,0,0,0,0
16449536,1,1,97,1852,362321,72777,87011
16465920,1,1,342,572,359,2130,7260
16637952,1,1,0,0,0,0,0
16875520,1,1,99,364,43,59,0
16879616,1,1,99,364,43,59,0
17485824,1,4,6,144,568,1270,10329
17510400,1,1,0,0,0,0,0
17862656,1,1,158,396,0,0,0
17920000,1,1,158,396,0,0,0
19025920,1,1,13,1,0,0,0
19148800,1,1,0,0,0,0,0
21143552,1,1,17,459,0,0,0
22036480,1,1,0,0,0,0,0
22941696,1,1,0,0,0,0,0
23093248,1,1,4,0,0,0,0
23277568,1,1,9,104,4994,0,0
23375872,1,42,243,1787,362555,73183,89388
23580672,1,1,0,0,0,0,0
23592960,1,3,41,4,0,0,0
23773184,1,1,0,0,0,0,0
23834624,1,1,12,45,19,4,11
23920640,1,1,0,0,0,0,0
23961600,1,1,121,732,0,0,0
24154112,1,1,0,0,0,0,0
24170496,1,1,8,64,262,18216,188865
24207360,1,1,0,0,0,0,0
24309760,1,13,207,2503,363946,113160,558625
24846336,1,2,353,576,513,2404,7257
24854528,1,11,342,572,359,2130,7260
24862720,1,7,327,1658,759,18180,188739
24887296,1,4,52,197,261,18215,188853
24895488,1,2,342,572,359,2130,7260
24928256,1,2,11,4,156,353,41
24940544,1,2,342,572,359,2130,7260
24965120,1,1,0,0,0,0,0
24969216,1,19,111,363,43,59,0
24985600,1,1,0,0,0,0,0
25001984,1,19,111,363,43,59,0
25014272,1,9,161,345357,15317,73298,486664
25071616,1,1,342,572,359,2130,7260
25128960,1,3,81,570,863,345,1095
25890816,1,1,1,0,0,0,0
25894912,1,1,1,0,0,0,0
26488832,1,1,1,0,0,0,0
26923008,1,1,0,0,0,0,0
26927104,1,1,0,0,0,0,0
4915216384,1,3,0,0,0,0,0
4915236864,1,3,239,1541,498,1118,328
4915261440,1,1,0,0,0,0,0
4915269632,1,3,210,1444,987,4217,1012
4915527680,1,1,0,0,0,0,0
4915666944,1,1,0,0,0,0,0
4915798016,1,1,0,0,0,0,0
4915859456,1,1,274,673,2,0,0
4916051968,1,1,0,0,0,0,0
4916396032,1,2,341,572,359,2130,7260
4916453376,1,27,363,2189,362804,73526,89436
4916793344,1,3,629,1382,666,2846,17102
4916805632,1,1,342,572,359,2130,7260
4916920320,1,4,358,586,359,2128,7258
4916998144,1,1,1,32,40,44,0
4917514240,1,1,0,0,0,0,0
4918022144,1,1,17,4,0,0,0
4918239232,1,1,0,0,0,0,0
4918808576,1,1,158,396,0,0,0
4919771136,1,1,6,0,0,0,0
4920221696,1,1,292,141,0,0,0
4920418304,1,1,0,0,0,0,0
4925603840,1,1,0,0,0,0,0
4925652992,1,14,0,0,0,0,0
4926058496,1,1,0,0,0,0,0
4926394368,1,66,345833,13843,158106,313554,1461028
4927107072,1,2,344701,10881,40515,288380,1603231
4927733760,1,10,190,2382,839,18340,188708
4927823872,1,2,41,712,349593,25625,99897
4927836160,1,1,344701,10881,40515,288380,1603231
4927840256,1,34,346910,18907,183890,355144,1451939
