节点ID,0,1,2,3,4,5,6
266240,1,6,12,39,50,203,676
270336,1,6,12,6,0,0,0
344064,1,1,0,0,0,0,0
409600,1,12,52,832,348690,36457,241311
425984,1,8,2,13,22,104,662
483328,1,3,3,4,0,0,0
536576,1,8,42,28,0,0,0
602112,1,9,2,0,0,0,0
651264,1,5,5,23,106,2225,2649
684032,1,5,23,33,192,597,5544
724992,1,6,26,107,483,1664,7482
733184,1,3,2,0,0,0,0
737280,1,4,9,41,105,373,934
741376,1,72,454,46,0,0,0
798720,1,100,1262,1617,0,0,0
806912,1,4,3,0,0,0,0
815104,1,373,8456,16702,0,0,0
819200,1,97,1140,759,0,0,0
823296,1,373,8457,16701,0,0,0
835584,1,373,8457,16701,0,0,0
839680,1,373,8456,16702,0,0,0
872448,1,3,103,0,0,0,0
880640,1,124,392,1617,0,0,0
909312,1,102,890,858,0,0,0
933888,1,122,885,0,0,0,0
942080,1,2,5,0,0,0,0
987136,1,111,850,0,0,0,0
1015808,1,125,711,0,0,0,0
1028096,1,1,10,20,121,327,880
1032192,1,7,29,53,256,890,351386
1101824,1,115,850,0,0,0,0
1249280,1,16,226,345587,12224,63658,484952
1302528,1,1,14,10,0,0,0
1306624,1,1,0,0,0,0,0
1339392,1,7,4,0,0,0,0
1466368,1,18,262,3830,478176,1100162,1815337
1536000,1,21,41,119,329,2379,3015
1576960,1,140,274,0,0,0,0
1581056,1,86,30,0,0,0,0
1617920,1,8,3,0,0,0,0
1626112,1,5,0,0,0,0,0
1691648,1,17,37,74,320,971,5208
1720320,1,31,16,123,0,0,0
1789952,1,1,0,0,0,0,0
1802240,1,7,17,39,113,336,951
1810432,1,3,0,0,0,0,0
1863680,1,353,8576,20587,11802,0,0
1892352,1,10,33,74,466,556,1566
2011136,1,6,25,258,170,852,301
2285568,1,2,6,7,51,326,346
2310144,1,8,22,2,1061,5336,10895
2355200,1,9,14,115,1574,350084,34008
2379776,1,24,0,0,0,0,0
2420736,1,28,81,271,198,235,715
2494464,1,72,283,98,42,289,0
2568192,1,21,150,1931,351070,40283,240575
2781184,1,13,32,122,345546,15242,71406
2805760,1,6,3,1,0,0,0
2965504,1,4,2,11,18,18,104
3100672,1,21,40,140,430,1091,2995
3186688,1,18,223,3831,478461,1101210,1816884
3276800,1,1,9,51,234,39,119
3305472,1,63,96,59,85,0,0
3313664,1,374,8586,20643,11802,0,0
3330048,1,374,8585,20643,11802,0,0
3334144,1,759,76241,5667,761,0,0
3338240,1,4,0,0,0,0,0
3350528,1,3,7,417,3218,32716,9423
3358720,1,6,1,0,0,0,0
3375104,1,886,0,0,0,0,0
3379200,1,817,0,0,0,0,0
3387392,1,374,8585,20643,11802,0,0
3407872,1,374,8585,20643,11802,0,0
3432448,1,1,0,0,0,0,0
3440640,1,4,6,0,0,0,0
3448832,1,2,1,0,0,0,0
3506176,1,2,8,5,1,0,0
3530752,1,7,0,0,0,0,0
3629056,1,14,255,3740,478427,1099823,1815567
3686400,1,1,10,2052,2295,363374,89833
3706880,1,2,8,19,90,485,9993
3821568,1,19,117,372,532,1553,6362
3833856,1,5,20,30,150,690,5124
3944448,1,8,40,30,0,0,0
3989504,1,8,3,0,0,0,0
4063232,1,6,17,110,257,804,2343
4096000,1,12,6,1,0,0,0
4100096,1,1,14,10,0,0,0
4136960,1,6,32,73,0,0,0
4141056,1,10,175,0,0,0,0
4157440,1,154,289,161,310,0,0
4173824,1,6,9,15,18,421,4281
4194304,1,8,7,28,105,2316,3002
4206592,1,62,164,367,400,49,119
4251648,1,8,49,220,187,378,1005
4255744,1,8,42,106,349,2298,2980
4259840,1,8,40,104,348,2265,2622
4263936,1,3,0,0,0,0,0
4268032,1,7,4,23,0,0,0
4288512,1,3,0,0,0,0,0
